Address,2019 EUI,2020 EUI,2021 EUI,GFA,postal_code,plan_area
"1 INTERNATIONAL BUSINESS PARK, SINGAPORE 609917",238.63829992988903,197.31095423446075,181.73974324879723,41363.0,609917,JURONG EAST
"10 EUNOS ROAD 8, SINGAPORE 408600",216.59709869614022,187.5277548200871,181.70844795046074,162134.0,408600,GEYLANG
"80 ROBINSON ROAD, SINGAPORE 068898",185.48778382907415,171.36336727788338,181.44050078953305,31031.0,068898,DOWNTOWN CORE
"1 GEORGE STREET, SINGAPORE 049145",214.99488008362206,188.5705222508275,181.34524109095835,51661.0,049145,DOWNTOWN CORE
"18 SCIENCE PARK DRIVE, SINGAPORE 118229",1062.1221448467966,599.4343546889507,176.8008356545961,16155.0,118229,QUEENSTOWN
"1 HAMPSHIRE ROAD, SINGAPORE 219428",231.3202795137516,185.35978482714975,175.24180260000526,37923.0,219428,KALLANG
"100 JALAN SULTAN, SINGAPORE 199001",246.77598802395212,175.8251720089233,175.1226159445814,17034.0,199001,KALLANG
"152 BEACH ROAD, SINGAPORE 189721",195.92921173331308,271.94576808759155,174.40163996695375,105307.0,189721,DOWNTOWN CORE
"15 SCIENCE CENTRE ROAD, SINGAPORE 609081",221.0287097392638,159.77281441717793,174.11680406441718,31296.0,609081,JURONG EAST
"300 TAMPINES AVENUE 5, SINGAPORE 529653",202.3675764080548,170.32952570786057,172.9100991515895,19566.0,529653,TAMPINES
"1 RAFFLES PLACE, SINGAPORE 048616",203.81861802589714,172.11403680417897,171.73765749823465,117541.0,048616,DOWNTOWN CORE
"9 NORTH BUONA VISTA DRIVE, SINGAPORE 138588",183.87549302541382,149.19921771076756,148.63691266129644,115394.66,138588,QUEENSTOWN
"16 COLLYER QUAY, SINGAPORE 049318",225.9915535288631,173.74909317027672,170.84857239092133,38596.0,049318,DOWNTOWN CORE
"163 PENANG ROAD, SINGAPORE 238463",182.7908449406536,167.73546203457806,169.33935830036313,18451.0,238463,ORCHARD
"20 ANSON ROAD, SINGAPORE 079912",209.33499871893414,189.65377060380902,168.21201639764283,23418.0,079912,DOWNTOWN CORE
"50 RAFFLES PLACE, SINGAPORE 048623",224.3307013406993,182.7730512699589,167.04484268678837,74215.0,048623,DOWNTOWN CORE
"71 ROBINSON ROAD, SINGAPORE 068895",226.69302171115447,177.101660508946,166.25883183195648,24089.0,068895,DOWNTOWN CORE
"1 TAMPINES INDUSTRIAL AVENUE 3, SINGAPORE 528777",168.65816060487552,162.628940164255,166.21618628601226,15342.0,528777,PAYA LEBAR
"138 ROBINSON ROAD, SINGAPORE 068906",188.90800819526098,174.165810321278,165.80141873032846,16839.0,068906,DOWNTOWN CORE
"65 CHULIA STREET, SINGAPORE 049513",199.94273365388457,172.668972016143,165.51413844084232,75079.0,049513,DOWNTOWN CORE
"143 CECIL STREET, SINGAPORE 069542",179.1371651450364,150.73633364151164,164.85149254593784,17306.0,069542,DOWNTOWN CORE
"3 TEMASEK AVENUE, SINGAPORE 039190",190.15433488572927,167.7988310767048,164.2225734817876,64846.0,039190,DOWNTOWN CORE
"510 THOMSON ROAD, SINGAPORE 298135",197.12774627367477,193.93257716014793,163.49897500840524,44615.0,298135,TOA PAYOH
"3 ANSON ROAD, SINGAPORE 079909",206.5636707439579,168.1658689357679,162.74451929326952,33846.0,079909,DOWNTOWN CORE
"60 ANSON ROAD, SINGAPORE 079914",195.6080713464397,174.82250329528563,162.21793757186526,35657.0,079914,DOWNTOWN CORE
"3 CLEANTECH LOOP, SINGAPORE 637143",168.1648116522126,149.9037313764732,162.02221614409606,22485.0,637143,WESTERN WATER CATCHMENT
"111 SOMERSET ROAD, SINGAPORE 238164",,157.23090542699282,159.85953732065127,68233.0,238164,ORCHARD
"3 CHURCH STREET, SINGAPORE 049483",187.93505043175387,176.38044082432333,159.65902329293957,27562.0,049483,DOWNTOWN CORE
"151 CHIN SWEE ROAD, SINGAPORE 169876",182.0153580547112,166.1628261398176,156.7462407294833,16450.0,169876,OUTRAM
"6 SHENTON WAY, SINGAPORE 068809",183.0786739046142,159.57736848907845,156.28364999353755,116055.0,068809,DOWNTOWN CORE
"47 SCOTTS ROAD, SINGAPORE 228233",196.27018635980914,145.508830760595,156.0730008419871,17815.0,228233,NEWTON
"20 COLLYER QUAY, SINGAPORE 049319",188.0012091202211,167.87370451404882,155.18928489175497,34736.0,049319,DOWNTOWN CORE
"89 SCIENCE PARK DRIVE, SINGAPORE 118261",184.67233877773916,163.40955617336044,154.55290125601942,20143.0,118261,QUEENSTOWN
"182 CECIL STREET, SINGAPORE 069547",151.335576317447,153.5953705647701,154.46261022464833,76208.0,069547,DOWNTOWN CORE
"18 ROBINSON ROAD, SINGAPORE 048547",,,153.84290637326137,24085.0,048547,DOWNTOWN CORE
"9 BATTERY ROAD, SINGAPORE 049910",170.90404632372744,116.01373983301913,153.55433342310798,18565.0,049910,DOWNTOWN CORE
"61 ROBINSON ROAD, SINGAPORE 068893",221.9612884371029,196.20115247776366,153.49997204574333,15740.0,068893,DOWNTOWN CORE
"150 SOUTH BRIDGE ROAD, SINGAPORE 058727",185.5730882352941,152.1717311563409,152.72779747260128,17884.0,058727,OUTRAM
"160 ROBINSON ROAD, SINGAPORE 068914",171.07297066231507,149.89159778637057,151.34869275249213,28189.0,068914,DOWNTOWN CORE
"138 MARKET STREET, SINGAPORE 048946",179.50278648342135,156.31420191944198,149.83533529261123,82003.0,048946,DOWNTOWN CORE
"302 ORCHARD ROAD, SINGAPORE 238862",156.34077146439648,142.27892430541803,149.82073120834158,15153.0,238862,ORCHARD
"3 SHENTON WAY, SINGAPORE 068805",158.30301508583318,144.09994381827642,148.39728975203744,28835.0,068805,DOWNTOWN CORE
"30 CECIL STREET, SINGAPORE 049712",159.2055453265461,156.3992057474999,147.63828297050435,27699.0,049712,DOWNTOWN CORE
"63 CHULIA STREET, SINGAPORE 049514",186.3933963939959,146.5704325428546,144.71866950883737,22518.0,049514,DOWNTOWN CORE
"1 SUPREME COURT LANE, SINGAPORE 178879",147.39172786617706,144.8529171766626,143.97137222902217,58824.0,178879,DOWNTOWN CORE
"2 VENTURE DRIVE, SINGAPORE 608526",125.908063566804,121.20045847402497,142.88143489978623,64562.0,608526,JURONG EAST
"456 ALEXANDRA ROAD, SINGAPORE 119962",145.21281138790036,133.85903914590747,142.6020640569395,28100.0,119962,QUEENSTOWN
"1 FUSIONOPOLIS PLACE, SINGAPORE 138522",180.33991632650097,147.99398596725695,142.09134356977876,68839.0,138522,QUEENSTOWN
"ORCHARD ROAD, SINGAPORE 238823",150.2891007616975,138.00708944504896,141.969716648531,22975.0,238823,NEWTON
"51 SCOTTS ROAD, SINGAPORE 228241",199.84791946308727,135.8970565675935,140.95355704697985,15645.0,228241,NEWTON
"2 INTERNATIONAL BUSINESS PARK, SINGAPORE 609930",136.47881846519223,131.25676116966008,139.39557666617188,67370.0,609930,JURONG EAST
